SA2_2023_V1_00_Origin_CODE,SA2_2023_V1_00_Origin_NAME,SA2_2023_V1_00_Destination_CODE,SA2_2023_V1_00_Destination_NAME,work_2018_Work_at_home,work_2018_Drive_a_private_car_truck_or_van,work_2018_Drive_a_company_car_truck_or_van,work_2018_Passenger_in_a_car_truck_van_or_company_bus,work_2018_Public_bus,work_2018_Train,work_2018_Bicycle,work_2018_Walk_or_jog,work_2018_Ferry,work_2018_Other,work_2018_Total_stated,work_2023_Work_at_home,work_2023_Drive_a_private_car_truck_or_van,work_2023_Drive_a_company_car_truck_or_van,work_2023_Passenger_in_a_car_truck_van_or_company_bus,work_2023_Public_bus,work_2023_Train,work_2023_Bicycle,work_2023_Walk_or_jog,work_2023_Ferry,work_2023_Other,work_2023_Total_stated
101400,Taemaro-Oruaiti,101900,Kaeo,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9
101400,Taemaro-Oruaiti,103000,Kerikeri Central,0,9,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,12
101500,Whakapaku,100301,Inlets Far North District,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101500,Whakapaku,100700,Kaitaia East,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12
101500,Whakapaku,100800,Kaitaia West,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101500,Whakapaku,101101,Doubtless Bay,0,9,0,0,0,0,0,0,0,0,12,0,21,0,0,0,0,0,0,0,0,27
101500,Whakapaku,101500,Whakapaku,81,15,6,0,0,0,0,0,0,0,114,96,15,6,0,0,0,0,0,0,0,117
101500,Whakapaku,101801,Whakarara,0,12,0,0,0,0,0,0,0,0,15,0,12,0,0,0,0,0,0,0,0,12
101500,Whakapaku,101900,Kaeo,0,12,0,0,0,0,0,0,0,0,18,0,15,0,0,0,0,0,0,0,0,18
101500,Whakapaku,103000,Kerikeri Central,0,12,0,0,0,0,0,0,0,0,15,0,12,0,0,0,0,0,0,0,0,12
101600,Hokianga North,100500,Tangonge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101600,Hokianga North,100700,Kaitaia East,0,15,0,0,0,0,0,0,0,0,21,0,15,9,0,0,0,0,0,0,0,33
101600,Hokianga North,100800,Kaitaia West,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12
101600,Hokianga North,101600,Hokianga North,63,24,0,0,0,0,0,0,0,0,90,81,27,0,0,0,0,0,0,0,0,123
101600,Hokianga North,101700,Kohukohu-Broadwood,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12
101600,Hokianga North,102100,Hokianga South,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,9
101600,Hokianga North,102501,Waipapa,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
101700,Kohukohu-Broadwood,100700,Kaitaia East,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,15
